Wvlgth,Global_tilted_irradiance,Beam_normal_+circumsolar,Global_tilted_irradiance,Beam_normal_+circumsolar,Global_tilted_irradiance,Beam_normal_+circumsolar,Global_tilted_irradiance,Beam_normal_+circumsolar,Global_tilted_irradiance,Beam_normal_+circumsolar,Global_tilted_irradiance,Beam_normal_+circumsolar,Global_tilted_irradiance,Beam_normal_+circumsolar,Global_tilted_irradiance,Beam_normal_+circumsolar,Global_tilted_irradiance,Beam_normal_+circumsolar
280,1.701E-021,1.937E-034,1.685E-020,2.791E-032,2.631E-020,9.909E-032,5.941E-020,5.646E-031,2.702E-019,8.305E-030,4.408E-020,2.766E-028,1.801E-019,1.902E-026,2.941E-018,4.787E-024,1.767E-016,4.44E-021
290,1.928E-010,5.796E-013,4.451E-010,9.271E-012,4.483E-010,1.683E-011,5.358E-010,3.655E-011,8.188E-010,1.032E-010,1.582E-009,3.752E-010,3.866E-009,1.714E-009,1.847E-008,0.000000012,1.573E-007,1.308E-007
300,0.0001013,0.00004205,0.0003264,0.0002579,0.000426,0.0003536,0.0005865,0.0005182,0.0008362,0.0007642,0.001255,0.001172,0.001975,0.001868,0.003417,0.003285,0.006568,0.006403
310,0.02136,0.009097,0.04865,0.03812,0.05751,0.04731,0.06941,0.06094,0.08138,0.07421,0.09499,0.08892,0.1106,0.1055,0.1307,0.1262,0.1571,0.1532
320,0.1289,0.06405,0.2713,0.221,0.3104,0.2626,0.3607,0.3221,0.4028,0.3714,0.4429,0.4175,0.4813,0.461,0.5208,0.5044,0.5628,0.5495
330,0.321,0.1695,0.6155,0.5075,0.6869,0.5854,0.7763,0.6962,0.8434,0.7797,0.9002,0.8503,0.9478,0.909,0.9878,0.9578,1.022,0.9985
340,0.3629,0.2088,0.6644,0.5614,0.7307,0.6343,0.8145,0.7393,0.8759,0.8167,0.9297,0.8808,0.9705,0.933,1.004,0.9751,1.031,1.009
350,0.3883,0.2417,0.6835,0.5915,0.7426,0.6566,0.8186,0.7522,0.8732,0.8213,0.918,0.8778,0.9539,0.923,0.9822,0.9586,1.004,0.9864
360,0.4602,0.3046,0.7858,0.693,0.8457,0.7588,0.9241,0.8575,0.9799,0.9282,1.025,0.9853,1.061,1.031,1.09,1.066,1.112,1.094
370,0.5811,0.4048,0.9513,0.8523,1.013,0.9206,1.097,1.027,1.156,1.102,1.204,1.162,1.242,1.21,1.272,1.247,1.295,1.276
380,0.493,0.3578,0.7842,0.712,0.829,0.7611,0.8915,0.8402,0.9354,0.8957,0.9705,0.94,0.9981,0.9749,1.02,1.002,1.036,1.023
390,0.6274,0.4714,0.9639,0.8849,1.011,0.9366,1.08,1.024,1.128,1.085,1.166,1.133,1.196,1.171,1.219,1.2,1.237,1.223
400,0.8803,0.6807,1.315,1.219,1.371,1.28,1.456,1.387,1.515,1.462,1.561,1.521,1.598,1.567,1.626,1.603,1.648,1.63
410,0.8623,0.6845,1.255,1.176,1.301,1.226,1.375,1.319,1.427,1.383,1.467,1.434,1.499,1.474,1.523,1.504,1.542,1.528
420,1.002,0.8118,1.424,1.344,1.469,1.392,1.546,1.488,1.599,1.555,1.641,1.607,1.673,1.647,1.698,1.679,1.717,1.702
430,0.8122,0.67,1.13,1.073,1.161,1.105,1.217,1.175,1.255,1.223,1.285,1.261,1.308,1.29,1.326,1.312,1.34,1.329
440,1.118,0.9369,1.526,1.456,1.562,1.494,1.631,1.58,1.679,1.64,1.715,1.686,1.744,1.722,1.766,1.749,1.783,1.771
450,1.334,1.133,1.789,1.715,1.826,1.752,1.9,1.845,1.951,1.909,1.99,1.959,2.021,1.997,2.045,2.027,2.063,2.049
460,1.342,1.155,1.773,1.707,1.804,1.737,1.872,1.823,1.919,1.881,1.955,1.927,1.984,1.962,2.006,1.989,2.023,2.011
470,1.322,1.15,1.725,1.667,1.751,1.691,1.813,1.768,1.855,1.821,1.887,1.862,1.913,1.894,1.933,1.918,1.949,1.938
480,1.399,1.229,1.808,1.753,1.832,1.774,1.893,1.85,1.934,1.902,1.967,1.943,1.993,1.974,2.014,1.999,2.03,2.02
490,1.422,1.258,1.803,1.752,1.822,1.768,1.877,1.837,1.915,1.885,1.945,1.922,1.968,1.951,1.987,1.975,2.003,1.993
500,1.349,1.199,1.687,1.644,1.701,1.655,1.75,1.716,1.783,1.757,1.81,1.791,1.831,1.817,1.849,1.838,1.864,1.856
510,1.351,1.206,1.672,1.633,1.684,1.642,1.729,1.698,1.761,1.737,1.786,1.768,1.807,1.793,1.824,1.814,1.839,1.831
520,1.337,1.198,1.633,1.598,1.642,1.603,1.683,1.655,1.712,1.691,1.736,1.72,1.755,1.743,1.772,1.763,1.787,1.78
530,1.387,1.248,1.681,1.648,1.689,1.652,1.73,1.703,1.759,1.739,1.783,1.768,1.804,1.792,1.823,1.814,1.84,1.833
540,1.315,1.187,1.577,1.549,1.583,1.551,1.619,1.596,1.645,1.627,1.667,1.654,1.686,1.676,1.703,1.695,1.72,1.714
550,1.391,1.259,1.652,1.625,1.656,1.625,1.692,1.669,1.719,1.701,1.741,1.728,1.761,1.751,1.779,1.771,1.797,1.792
560,1.323,1.202,1.559,1.536,1.562,1.535,1.595,1.574,1.619,1.604,1.64,1.628,1.659,1.65,1.677,1.671,1.696,1.691
570,1.289,1.174,1.535,1.514,1.54,1.514,1.572,1.553,1.596,1.582,1.618,1.607,1.637,1.629,1.657,1.65,1.677,1.672
580,1.319,1.204,1.552,1.532,1.556,1.532,1.587,1.57,1.611,1.598,1.632,1.622,1.651,1.644,1.671,1.665,1.69,1.686
590,1.205,1.101,1.469,1.451,1.472,1.45,1.498,1.482,1.519,1.507,1.537,1.528,1.554,1.547,1.571,1.566,1.589,1.585
600,1.293,1.185,1.49,1.474,1.49,1.469,1.515,1.5,1.536,1.524,1.554,1.546,1.572,1.565,1.59,1.585,1.61,1.606
610,1.309,1.2,1.484,1.469,1.483,1.463,1.507,1.492,1.526,1.515,1.543,1.535,1.559,1.553,1.576,1.571,1.594,1.591
620,1.31,1.202,1.48,1.466,1.478,1.46,1.501,1.487,1.519,1.508,1.535,1.527,1.549,1.543,1.564,1.56,1.58,1.576
